Number,Company Name,Year,Revenue,Source,Discrepancy,Classement having discrepancy,Notes,Conglomerate,Public
1,STE TNNE IND RAFFINAGE- STIR,2018,4988000,2020,NA,NA,NA,0,1
NA,NA,2017,3672000,2020,NA,NA,NA,NA,NA
NA,NA,2014,4496000,2016,NA,NA,NA,NA,NA
NA,NA,2013,4209000,2016,NA,NA,NA,NA,NA
NA,NA,2012,3930000,2015,NA,NA,NA,NA,NA
NA,NA,2011,4073096,2014,NA,NA,NA,NA,NA
NA,NA,2010,3299031,2012,3001000,2011,NA,NA,NA
NA,NA,2009,2776000,2011,2770000,2010,NA,NA,NA
NA,NA,2008,3188000,2010,3189000,2009,NA,NA,NA
NA,NA,2007,2721000,2009,2720900,2008,NA,NA,NA
NA,NA,2006,2298700,2008,NA,NA,NA,NA,NA
2,STE TNNE ELECTRICITE GAZ- STEG,2018,4518000,2020,NA,NA,NA,0,1
NA,NA,2017,4038500,2020,NA,NA,NA,NA,NA
NA,NA,2014,3736000,2016,NA,NA,NA,NA,NA
NA,NA,2013,2968600,2016,NA,NA,NA,NA,NA
NA,NA,2012,2669400,2015,NA,NA,NA,NA,NA
NA,NA,2011,2408100,2014,2740800,2012,NA,NA,NA
NA,NA,2010,2623900,2012,NA,NA,NA,NA,NA
NA,NA,2009,2355000,2011,2354000,2010,NA,NA,NA
NA,NA,2008,2143000,2010,2160000,2009,NA,NA,NA
NA,NA,2007,1646000,2009,1632400,2008,NA,NA,NA
NA,NA,2006,1493600,2008,NA,NA,NA,NA,NA
3,TUNISIE TELECOM,2018,2304168,2020,NA,NA,NA,0,1
NA,NA,2017,1965000,2020,NA,NA,NA,NA,NA
NA,NA,2014,1352000,2016,NA,NA,NA,NA,NA
NA,NA,2013,1400000,2016,NA,NA,NA,NA,NA
NA,NA,2012,1630000,2015,NA,NA,NA,NA,NA
NA,NA,2011,1619000,2014,NA,NA,NA,NA,NA
NA,NA,2010,1300000,2012,1400000,2011,NA,NA,NA
NA,NA,2009,1375037,2011,NA,NA,NA,NA,NA
NA,NA,2008,1343028,2010,NA,NA,NA,NA,NA
NA,NA,2007,1287379,2009,1193769,2008,NA,NA,NA
NA,NA,2006,1134510,2008,NA,NA,NA,NA,NA
4,SOCIETE NATIONALE DE DISTRIBUTION DE PETROLE SNDP,2018,2030000,2020,NA,NA,"This company was named ""STE NAT DISTRIBUTION PETROLE- AGIL"" in the classement of 2019 and previous ones.",0,1
NA,NA,2017,1775000,2020,NA,NA,NA,NA,NA
NA,NA,2014,1817180,2016,NA,NA,NA,NA,NA
NA,NA,2013,1672515,2016,1524000,2015 and 2013,NA,NA,NA
NA,NA,2012,1355000,2015,1490433,2014,NA,NA,NA
NA,NA,2011,1417938,2014,NA,NA,NA,NA,NA
NA,NA,2010,1388003,2012,NA,NA,NA,NA,NA
NA,NA,2009,1269807,2011,1270000,2010,NA,NA,NA
NA,NA,2008,1392528,2010,NA,NA,NA,NA,NA
NA,NA,2007,1262782,2009,NA,NA,NA,NA,NA
NA,NA,2006,1159533,2008,NA,NA,NA,NA,NA
5,ENTREPRISE TNNE ACTIVITE PETROLIERES- ETAP,2018,1712934,2020,NA,NA,NA,0,1
NA,NA,2017,1251766,2020,NA,NA,NA,NA,NA
NA,NA,2014,2152719,2016,NA,NA,NA,NA,NA
NA,NA,2013,2288365,2016,NA,NA,NA,NA,NA
NA,NA,2012,2524805,2015,NA,NA,NA,NA,NA
NA,NA,2011,1928522,2014,NA,NA,NA,NA,NA
NA,NA,2010,1600457,2012,NA,NA,NA,NA,NA
NA,NA,2009,1000770,2011,NA,NA,NA,NA,NA
NA,NA,2008,1420000,2010,NA,NA,NA,NA,NA
NA,NA,2007,1018000,2009,1022149,2008,NA,NA,NA
NA,NA,2006,772037,2008,NA,NA,NA,0,1
6,TUNISAIR,2018,1686000,2020,NA,NA,NA,NA,NA
NA,NA,2017,1395000,2020,NA,NA,NA,NA,NA
NA,NA,2014,1084591,2016,NA,NA,NA,NA,NA
NA,NA,2013,1147245,2016,1030801,2015 and 2013,NA,NA,NA
NA,NA,2012,1165288,2015,NA,NA,This was considered a conglomerate for classement 2015 and the ones before,NA,NA
NA,NA,2011,978809,2014,NA,NA,NA,NA,NA
NA,NA,2010,1051758,2012,1052000,2011,NA,NA,NA
NA,NA,2009,1004000,2011,1001000,2010,NA,NA,NA
NA,NA,2008,1117000,2010,NA,NA,NA,NA,NA
NA,NA,2007,960730,2008,NA,NA,NA,NA,NA
NA,NA,2006,949455,2008,NA,NA,NA,NA,NA
7,PHARMACIE CENTRALE DE TUNISIE,2018,1337287,2020,NA,NA,NA,0,1
NA,NA,2017,1256967,2020,NA,NA,NA,NA,NA
NA,NA,2014,1150000,2016,NA,NA,NA,NA,NA
NA,NA,2013,1106000,2016,NA,NA,NA,NA,NA
NA,NA,2012,1015000,2015,NA,NA,NA,NA,NA
NA,NA,2011,874000,2014,NA,NA,NA,NA,NA
NA,NA,2010,806000,2012,818295,2011,NA,NA,NA
NA,NA,2009,736851,2011,725000,2010,NA,NA,NA
NA,NA,2008,604000,2010,NA,NA,NA,NA,NA
NA,NA,2007,534000,2009,568858,2008,NA,NA,NA
NA,NA,2006,508757,2008,NA,NA,NA,NA,NA
8,OOREDOO TUNISIE,2018,1294000,2020,NA,NA,"This company cas named ""OOREDOO"" for classement 2019 and before",0,1
NA,NA,2017,1186000,2020,NA,NA,NA,NA,NA
NA,NA,2014,1258000,2016,NA,NA,NA,NA,NA
NA,NA,2013,1317000,2016,1062693,2015 and 2013,NA,NA,NA
NA,NA,2012,1071480,2015,1071500,2014,This company was named ORASCOM TELECOM TUNISIE for classement 2014 and the ones before,NA,NA
NA,NA,2011,1020000,2014,NA,NA,NA,NA,NA
NA,NA,2010,1100000,2012,1000000,2011,NA,NA,NA
NA,NA,2009,966000,2011,NA,NA,NA,NA,NA
NA,NA,2008,890700,2010,NA,NA,This company was named TUNISIANA for classement 2010 and the ones before,NA,NA
NA,NA,2007,713600,2009,682551,2008,NA,NA,NA
NA,NA,2006,580046,2008,NA,NA,NA,NA,NA
9,STE NAT EXPLOITATION DISTRIBUTION EAUX - SONEDE,2018,1264132,2020,NA,NA,NA,0,1
NA,NA,2017,849439,2020,NA,NA,NA,NA,NA
NA,NA,2014,425593,2016,NA,NA,NA,NA,NA
NA,NA,2013,374580,2016,337000,2015,NA,NA,NA
NA,NA,2012,320000,2015,306389,2014,"This company is named ""SONEDE "" for classement 2015 and the ones before",NA,NA
NA,NA,2011,280925,2014,247700,2012,NA,NA,NA
NA,NA,2010,276781,2012,276781,2011,NA,NA,NA
NA,NA,2009,249997,2011,213600,2010,NA,NA,NA
NA,NA,2008,210000,2010,NA,NA,NA,NA,NA
NA,NA,2007,202500,2009,NA,NA,NA,NA,NA
NA,NA,2006,197300,2008,NA,NA,NA,NA,NA
10,TOTAL TUNISIE,2018,1246000,2020,NA,NA,NA,0,NA
NA,NA,2017,1125000,2020,NA,NA,NA,NA,NA
NA,NA,2014,897892,2016,NA,NA,NA,NA,NA
NA,NA,2013,871000,2016,NA,NA,NA,NA,NA
NA,NA,2012,877239,2015,NA,NA,NA,NA,NA
NA,NA,2011,775829,2014,NA,NA,NA,NA,NA
NA,NA,2010,758209,2012,NA,NA,NA,NA,NA
NA,NA,2009,658089,2011,664135,2010,NA,NA,NA
NA,NA,2008,782482,2010,NA,NA,NA,NA,NA
NA,NA,2007,618156,2009,NA,NA,NA,NA,NA
NA,NA,2006,519000,2008,NA,NA,NA,NA,NA
11,STE FABRICATION BOISSONS TUNISIE - SFBT (GROUPE SFBT),2018,1213381,2020,NA,NA,NA,1,0
NA,NA,2017,1068870,2020,NA,NA,NA,NA,NA
NA,NA,2014,745966,2016,NA,NA,NA,NA,NA
NA,NA,2013,695038,2016,NA,NA,NA,NA,NA
NA,NA,2012,582055,2015,NA,NA,NA,NA,NA
NA,NA,2011,489624,2014,NA,NA,NA,NA,NA
NA,NA,2010,433569,2012,NA,NA,NA,NA,NA
NA,NA,2009,389728,2011,NA,NA,NA,NA,NA
NA,NA,2008,362300,2010,NA,NA,NA,NA,NA
NA,NA,2007,338150,2009,NA,NA,NA,NA,NA
NA,NA,2006,328750,2008,NA,NA,NA,NA,NA
12,VIVO ENERGY,2018,1208270,2020,NA,NA,This company was named VIVO ENERGY TUNISIE in for classement 2019 and before,0,NA
NA,NA,2017,1056626,2020,NA,NA,NA,NA,NA
NA,NA,2014,1091474,2016,NA,NA,NA,NA,NA
NA,NA,2013,1031392,2016,860653,2015 and 2013,NA,NA,NA
NA,NA,2012,761969,2015,NA,NA,NA,NA,NA
NA,NA,2011,702659,2014,NA,NA,NA,NA,NA
NA,NA,2010,613682,2012,NA,NA,NA,NA,NA
NA,NA,2009,585722,2011,NA,NA,This company was named SHELL TUNISIE for classement 2011 and the ones before,NA,NA
NA,NA,2008,623872,2010,704004,2009,NA,NA,NA
NA,NA,2007,599469,2009,NA,NA,NA,NA,NA
NA,NA,2006,515550,2008,NA,NA,NA,NA,NA
13,GROUPE CHIMIQUE TUNISIEN (GROUPE CHIMIQUE TUNISIEN),2018,1186000,2020,NA,NA,NA,1,1
NA,NA,2017,1289000,2020,NA,NA,NA,NA,NA
NA,NA,2014,1544000,2016,NA,NA,NA,NA,NA
NA,NA,2013,1544000,2016,NA,NA,NA,NA,NA
NA,NA,2012,1653000,2015,NA,NA,NA,NA,NA
NA,NA,2011,1174000,2014,NA,NA,NA,NA,NA
NA,NA,2010,1954000,2012,NA,NA,NA,NA,NA
NA,NA,2009,1530000,2011,NA,NA,NA,NA,NA
NA,NA,2008,3017000,2010,NA,NA,NA,NA,NA
NA,NA,2007,1357000,2009,1368000,2008,NA,NA,NA
NA,NA,2006,1109000,2008,NA,NA,NA,NA,NA
14,REGIE NATIONALE TABACS ALLUMETTES - RNTA,2018,1053600,2020,NA,NA,NA,0,1
NA,NA,2017,916300,2020,NA,NA,NA,NA,NA
NA,NA,2014,651688,2016,NA,NA,NA,NA,NA
NA,NA,2013,578982,2016,NA,NA,NA,NA,NA
NA,NA,2012,560262,2015,1036700,2014,NA,NA,NA
NA,NA,2011,908500,2014,489624,2012,NA,NA,NA
NA,NA,2010,433569,2012,495000,2011,NA,NA,NA
NA,NA,2009,573000,2011,1093300,2010,NA,NA,NA
NA,NA,2008,986700,2010,986000,2009,NA,NA,NA
NA,NA,2007,872400,2009,NA,NA,NA,NA,NA
NA,NA,2006,802200,2008,NA,NA,NA,NA,NA
15,CARREFOUR,2018,1050000,2020,NA,NA,NA,0,0
NA,NA,2017,950000,2020,NA,NA,NA,NA,NA
NA,NA,2014,730000,2016,NA,NA,NA,NA,NA
NA,NA,2013,643000,2016,NA,NA,NA,NA,NA
NA,NA,2012,586500,2015,NA,NA,NA,NA,NA
NA,NA,2011,520000,2014,NA,NA,NA,NA,NA
NA,NA,2010,490000,2012,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,The revenue is left blank for the year 2009 for classement 2011 and the ones before,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
16,SOCIETE MAGASIN GENERAL,2018,954795,2020,NA,NA,This company is named MAGASIN GENERAL for classement 2019 and before,0,0
NA,NA,2017,894092,2020,NA,NA,NA,NA,NA
NA,NA,2014,789887,2016,NA,NA,NA,NA,NA
NA,NA,2013,577992,2016,565901,2015 and 2013,NA,NA,NA
NA,NA,2012,480955,2015,NA,NA,NA,NA,NA
NA,NA,2011,335305,2014,NA,NA,NA,NA,NA
NA,NA,2010,528067,2012,NA,NA,NA,NA,NA
NA,NA,2009,401129,2011,436000,2010,NA,NA,NA
NA,NA,2008,409500,2010,390879,2009,NA,NA,NA
NA,NA,2007,216763,2009,NA,NA,NA,NA,NA
NA,NA,2006,232148,2008,NA,NA,NA,NA,NA
17,ORANGE TUNISIE,2018,879000,2020,NA,NA,NA,0,0
NA,NA,2017,800000,2020,NA,NA,NA,NA,NA
NA,NA,2014,431400,2016,NA,NA,NA,NA,NA
NA,NA,2013,374900,2016,325548,2015,NA,NA,NA
NA,NA,2012,318777,2015,NA,NA,NA,NA,NA
NA,NA,2011,180000,2014,NA,NA,NA,NA,NA
NA,NA,2010,NA,2012,NA,NA,No entry for the year 2010 since Orange Tunisia only acquired a license in Tunisia on 5 May 2010,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
18,MONOPRIX (GROUPE MABROUK),2018,615205,2020,NA,NA,NA,1,0
NA,NA,2017,577394,2020,NA,NA,NA,NA,NA
NA,NA,2014,531055,2016,NA,NA,NA,NA,NA
NA,NA,2013,479969,2016,600000,2015 and 2013,NA,NA,NA
NA,NA,2012,421129,2015,NA,NA,NA,NA,NA
NA,NA,2011,383100,2014,NA,NA,NA,NA,NA
NA,NA,2010,419126,2012,NA,NA,NA,NA,NA
NA,NA,2009,378371,2011,385906,2010,NA,NA,NA
NA,NA,2008,330763,2010,312333,2009,NA,NA,NA
NA,NA,2007,241470,2009,NA,NA,NA,NA,NA
NA,NA,2006,204342,2008,NA,NA,NA,NA,NA
19,CARTHAGE POWER COMPANY,2018,600000,2020,NA,NA,NA,0,0
NA,NA,2017,519000,2020,NA,NA,NA,NA,NA
NA,NA,2014,462000,2016,NA,NA,NA,NA,NA
NA,NA,2013,364000,2016,NA,NA,NA,NA,NA
NA,NA,2012,322000,2015,NA,NA,NA,NA,NA
NA,NA,2011,314981,2014,NA,NA,NA,NA,NA
NA,NA,2010,322064,2012,332000,2011,NA,NA,NA
NA,NA,2009,322000,2011,319000,2010,NA,NA,NA
NA,NA,2008,342000,2010,NA,NA,NA,NA,NA
NA,NA,2007,223000,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
20,OFFICE DE l'AVIATION CIVILE ET DES AEROPORTS- OACA,2018,508866,2020,NA,NA,NA,0,1
NA,NA,2017,406811,2020,NA,NA,NA,NA,NA
NA,NA,2014,299000,2016,NA,NA,NA,NA,NA
NA,NA,2013,294000,2016,NA,NA,NA,NA,NA
NA,NA,2012,256585,2015,NA,NA,NA,NA,NA
NA,NA,2011,199412,2014,NA,NA,NA,NA,NA
NA,NA,2010,239000,2012,240000,2011,NA,NA,NA
NA,NA,2009,245071,2011,NA,NA,NA,NA,NA
NA,NA,2008,234798,2010,235159,2009,NA,NA,NA
NA,NA,2007,239283,2009,238628,2008,NA,NA,NA
NA,NA,2006,220618,2008,NA,NA,NA,NA,NA
21,CIE PHOSPHATES GAFSA- CPG (GROUPE CHIMIQUE TUNISIEN),2018,505000,2020,NA,NA,NA,1,1
NA,NA,2017,471544,2020,NA,NA,NA,NA,NA
NA,NA,2014,515400,2016,NA,NA,NA,NA,NA
NA,NA,2013,421500,2016,NA,NA,NA,NA,NA
NA,NA,2012,858000,2015,NA,NA,NA,NA,NA
NA,NA,2011,590000,2014,NA,NA,NA,NA,NA
NA,NA,2010,783500,2012,783619,2011,NA,NA,NA
NA,NA,2009,613304,2011,613300,2010,NA,NA,NA
NA,NA,2008,1406000,2010,NA,NA,NA,NA,NA
NA,NA,2007,403000,2009,414000,2008,NA,NA,NA
NA,NA,2006,338100,2008,NA,NA,NA,NA,NA
22,NOUVELAIR (GROUPE TTS),2018,407419,2020,NA,NA,NA,1,0
NA,NA,2017,311351,2020,NA,NA,NA,NA,NA
NA,NA,2014,593268,2016,NA,NA,NA,NA,NA
NA,NA,2013,570450,2016,NA,NA,NA,NA,NA
NA,NA,2012,450628,2015,NA,NA,NA,NA,NA
NA,NA,2011,379626,2014,NA,NA,NA,NA,NA
NA,NA,2010,446619,2012,NA,NA,NA,NA,NA
NA,NA,2009,402655,2011,NA,NA,NA,NA,NA
NA,NA,2008,477000,2009,NA,NA,NA,NA,NA
NA,NA,2007,378486,2009,NA,NA,NA,NA,NA
NA,NA,2006,335757,2008,NA,NA,NA,NA,NA
23,STE ENNAKL,2018,404119,2020,NA,NA,NA,0,0
NA,NA,2017,422573,2020,NA,NA,NA,NA,NA
NA,NA,2014,281568,2016,NA,NA,NA,NA,NA
NA,NA,2013,278547,2016,300339,2015 and 2013,NA,NA,NA
NA,NA,2012,248165,2015,NA,NA,NA,NA,NA
NA,NA,2011,262672,2014,262362,2012,NA,NA,NA
NA,NA,2010,408794,2012,NA,NA,NA,NA,NA
NA,NA,2009,316430,2011,NA,NA,NA,NA,NA
NA,NA,2008,305000,2010,NA,NA,NA,NA,NA
NA,NA,2007,245000,2009,212000,2008,NA,NA,NA
NA,NA,2006,104000,2008,NA,NA,NA,NA,NA
24,UNIVERSAL AUTO DSITRIBUTORS HOLDING (UADH) SA,2018,388000,2020,NA,NA,NA,1,0
NA,NA,2017,495000,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
25,OFFICE NATIONAL HUILE- ONH,2018,381000,2020,NA,NA,NA,0,1
NA,NA,2017,362000,2020,NA,NA,NA,NA,NA
NA,NA,2014,350000,2016,NA,NA,NA,NA,NA
NA,NA,2013,393800,2016,NA,NA,NA,NA,NA
NA,NA,2012,379872,2015,NA,NA,NA,NA,NA
NA,NA,2011,334107,2014,335107,2012,NA,NA,NA
NA,NA,2010,233153,2012,NA,NA,NA,NA,NA
NA,NA,2009,263874,2011,NA,NA,NA,NA,NA
NA,NA,2008,332861,2010,NA,NA,NA,NA,NA
NA,NA,2007,327756,2009,NA,NA,NA,NA,NA
NA,NA,2006,351169,2008,NA,NA,NA,NA,NA
26,TUNISIE CABLES (GROUPE ONE TECH),2018,377772,2020,NA,NA,NA,1,NA
NA,NA,2017,313981,2020,NA,NA,NA,NA,NA
NA,NA,2014,212032,2016,NA,NA,NA,NA,NA
NA,NA,2013,209637,2016,210100,2015,NA,NA,NA
NA,NA,2012,209820,2015,209819,2014,NA,NA,NA
NA,NA,2011,210010,2014,209000,2012,NA,NA,NA
NA,NA,2010,157700,2012,NA,NA,NA,NA,NA
NA,NA,2009,149300,2011,NA,NA,NA,NA,NA
NA,NA,2008,149023,2010,NA,NA,NA,NA,NA
NA,NA,2007,137343,2009,139000,2008,NA,NA,NA
NA,NA,2006,110000,2008,NA,NA,NA,NA,NA
27,SOCIETE TUNISIENNE D'ASSURANCES ET DE REASSURANCES STAR,2018,358733,2020,NA,NA,"This company was named ""STAR"" in the classement for 2019 and before",0,0
NA,NA,2017,367099,2020,NA,NA,NA,NA,NA
NA,NA,2014,288208,2016,NA,NA,NA,NA,NA
NA,NA,2013,259961,2016,NA,NA,NA,NA,NA
NA,NA,2012,236523,2015,238000,2014,NA,NA,NA
NA,NA,2011,258000,2014,205734,2012,NA,NA,NA
NA,NA,2010,212768,2012,NA,NA,NA,NA,NA
NA,NA,2009,209613,2011,209707,2010,NA,NA,NA
NA,NA,2008,201881,2010,NA,NA,NA,NA,NA
NA,NA,2007,216536,2009,NA,NA,NA,NA,NA
NA,NA,2006,213528,2008,NA,NA,NA,NA,NA
28,VITALAIT,2018,350000,2020,NA,NA,NA,0,NA
NA,NA,2017,315000,2020,NA,NA,NA,NA,NA
NA,NA,2014,236947,2016,NA,NA,NA,NA,NA
NA,NA,2013,211584,2016,NA,NA,NA,NA,NA
NA,NA,2012,172005,2015,NA,NA,NA,NA,NA
NA,NA,2011,150415,2014,143000,2012,NA,NA,NA
NA,NA,2010,126009,2012,NA,NA,NA,NA,NA
NA,NA,2009,110542,2011,NA,NA,NA,NA,NA
NA,NA,2008,81645,2010,NA,NA,NA,NA,NA
NA,NA,2007,69787,2009,NA,NA,NA,NA,NA
NA,NA,2006,53539,2008,NA,NA,NA,NA,NA
29,SOCIETE LILAS (groupe LILAS),2018,321772,2020,NA,NA,NA,1,0
NA,NA,2017,268566,2020,NA,NA,NA,NA,NA
NA,NA,2014,NA,NA,NA,NA,NA,NA,NA
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
30,STE ARTICLE HYGIENE-LILAS (groupe LILAS),2018,321772,2020,NA,NA,NA,1,0
NA,NA,2017,268566,321772,NA,NA,NA,NA,NA
NA,NA,2014,213603,2016,NA,NA,NA,NA,NA
NA,NA,2013,205361,2016,NA,NA,NA,NA,NA
NA,NA,2012,159573,2015,NA,NA,NA,NA,NA
NA,NA,2011,126444,2014,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
31,STAROIL-SA,2018,312395,2020,NA,NA,this company was named STAROIL in 2019 and before,0,0
NA,NA,2017,253545,2020,NA,NA,NA,NA,NA
NA,NA,2014,210512,2016,NA,NA,NA,NA,NA
NA,NA,2013,189800,2016,167462,2015,NA,NA,NA
NA,NA,2012,148361,2015,149000,2014,NA,NA,NA
NA,NA,2011,157000,2014,NA,NA,NA,NA,NA
NA,NA,2010,167256,2012,NA,NA,NA,NA,NA
NA,NA,2009,149154,2011,168997,2010,NA,NA,NA
NA,NA,2008,174625,2010,171000,2009,NA,NA,NA
NA,NA,2007,151111,2009,NA,NA,NA,NA,NA
NA,NA,2006,133000,2008,NA,NA,NA,NA,NA
32,DICK (POULINA GROUP HOLDING),2018,300304,2020,NA,NA,NA,1,NA
NA,NA,2017,249209,2020,NA,NA,NA,NA,NA
NA,NA,2014,181571,2016,NA,NA,NA,NA,NA
NA,NA,2013,172212,2016,NA,NA,NA,NA,NA
NA,NA,2012,144489,2015,NA,NA,NA,NA,NA
NA,NA,2011,126175,2014,NA,NA,NA,NA,NA
NA,NA,2010,113065,2012,NA,NA,NA,NA,NA
NA,NA,2009,94004,2011,NA,NA,NA,NA,NA
NA,NA,2008,80966,2010,NA,NA,NA,NA,NA
NA,NA,2007,69009,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
33,MANUFACTORING INTERNATIONAL COMPANY- MIC,2018,295000,2020,NA,NA,NA,0,NA
NA,NA,2017,268000,2020,NA,NA,NA,NA,NA
NA,NA,2014,191623,2016,NA,NA,NA,NA,NA
NA,NA,2013,184000,2016,NA,NA,NA,NA,NA
NA,NA,2012,141000,2015,NA,NA,NA,NA,NA
NA,NA,2011,132500,2014,NA,NA,NA,NA,NA
NA,NA,2010,98887,2012,NA,NA,NA,NA,NA
NA,NA,2009,64000,2011,NA,NA,NA,NA,NA
NA,NA,2008,59000,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
34,EL MAZRAA (POULINA GROUP HOLDING),2018,285713,2020,NA,NA,NA,1,NA
NA,NA,2017,223013,2020,NA,NA,NA,NA,NA
NA,NA,2014,181555,2016,NA,NA,NA,NA,NA
NA,NA,2013,178166,2016,NA,NA,NA,NA,NA
NA,NA,2012,159653,2015,NA,NA,NA,NA,NA
NA,NA,2011,128898,2014,NA,NA,NA,NA,NA
NA,NA,2010,112656,2012,112330,2011,NA,NA,NA
NA,NA,2009,93833,2011,NA,NA,NA,NA,NA
NA,NA,2008,76929,2010,79794,2009,NA,NA,NA
NA,NA,2007,66965,2009,64200,2008,NA,NA,NA
NA,NA,2006,51500,2008,NA,NA,NA,NA,NA
35,TUNISIE LEASING § FACTORING,2018,282743,2020,NA,NA,This company was named TUNISIE LEASING for classment 2019 and the ones before,0,1
NA,NA,2017,245427,2020,NA,NA,NA,NA,NA
NA,NA,2014,52691,2016,NA,NA,NA,NA,NA
NA,NA,2013,47788,2016,NA,NA,NA,NA,NA
NA,NA,2012,44100,2015,NA,NA,NA,NA,NA
NA,NA,2011,40500,2014,NA,NA,NA,NA,NA
NA,NA,2010,40718,2011,NA,NA,NA,NA,NA
NA,NA,2009,36200,2011,NA,NA,NA,NA,NA
NA,NA,2008,32580,2009,NA,NA,NA,NA,NA
NA,NA,2007,26621,2009,39362,2008,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,No entry,NA,NA
36,STE EMBALL.ALUMINIUM BOISSONS GAZEUSES (GROUPE SFBT),2018,264386,2020,NA,NA,NA,NA,NA
NA,NA,2017,221980,2020,NA,NA,NA,NA,NA
NA,NA,2014,468111,2016,NA,NA,NA,1,0
NA,NA,2013,443429,2016,NA,NA,NA,NA,NA
NA,NA,2012,357272,2015,NA,NA,NA,NA,NA
NA,NA,2011,355953,2014,NA,NA,NA,NA,NA
NA,NA,2010,233484,2012,NA,NA,NA,NA,NA
NA,NA,2009,199348,2011,NA,NA,NA,NA,NA
NA,NA,2008,185000,2010,NA,NA,NA,NA,NA
NA,NA,2007,190000,2009,NA,NA,NA,NA,NA
NA,NA,2006,196785,2008,NA,NA,NA,NA,NA
37,STE STATIONS THERMALES EAUX MINERALES - SOSTEM (GROUPE SFBT),2018,257210,2020,NA,NA,NA,1,0
NA,NA,2017,206858,2020,NA,NA,NA,NA,NA
NA,NA,2014,155349,2016,NA,NA,NA,NA,NA
NA,NA,2013,127656,2016,NA,NA,NA,NA,NA
NA,NA,2012,118273,2015,NA,NA,NA,NA,NA
NA,NA,2011,92786,2014,NA,NA,NA,NA,NA
NA,NA,2010,83890,2012,NA,NA,NA,NA,NA
NA,NA,2009,76689,2011,NA,NA,NA,NA,NA
NA,NA,2008,66100,2010,NA,NA,NA,NA,NA
NA,NA,2007,52900,2009,NA,NA,NA,NA,NA
NA,NA,2006,35780,2008,NA,NA,NA,NA,NA
38,CARTHAGE CEMENT,2018,249587,2020,NA,NA,NA,0,0
NA,NA,2017,182434,2020,NA,NA,NA,NA,NA
NA,NA,2014,169439,2016,NA,NA,NA,NA,NA
NA,NA,2013,48736,2016,NA,NA,NA,NA,NA
NA,NA,2012,38136,2015,NA,NA,NA,NA,NA
NA,NA,2011,35715,2014,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
39,SOCIETE NUTRITION ANIMALE- SNA (POULINA GROUP HOLDING),2018,228179,2020,NA,NA,NA,1,0
NA,NA,2017,215819,2020,NA,NA,NA,NA,NA
NA,NA,2014,208556,2016,NA,NA,NA,NA,NA
NA,NA,2013,216326,2016,NA,NA,NA,NA,NA
NA,NA,2012,194480,2015,NA,NA,NA,NA,NA
NA,NA,2011,183771,2014,NA,NA,NA,NA,NA
NA,NA,2010,154104,2012,153405,2011,NA,NA,NA
